Region,Application/Plan,Operation,A7 Job Name,Production Job Match,Mapping Status,Expected Duration (min),Avg Runtime Jun-26 (min),P95 Runtime Jun-26 (min),Run Count,Avg Runtime Dec-25 (min),P95 Runtime Dec-25 (min),Run Count Dec-25,SLA Start,SLA End/Cut-off,Criticality,Area,Job Description,Executed Programs,Referenced Datasets (max 30),Source Reference,Validation Status,Environment Status,Implementation Status,Frequency
MY,TMYCLKA7,CPU_001,J7START,,Dev only - not in Prod,1,,,0,,,,,,Development only,,Not implemented in production; runs in development only.,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt; user confirmation 2026-07-19,User confirmed dev-only,Development,Not implemented in production,
MY,TMYCLKA7,CPU_002,J7AEM#1,JOAEM#1,Matched,10,0.1,0.13,32,0.1,0.12,31,,,Standard,,,,&CNTLLIB(OADC200A),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_029,J7P476CL,JEP476CL,Matched,10,0,0,32,0,0,31,,,Standard,,,,PRDCRD.BTHCTL.MY20A2(CEPPCL),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_030,J7PDY2BK,JEPDY2BK,Matched,10,1.1,1.95,32,1.05,1.58,31,,,Standard,,,IDCAMS,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_031,J7PDLY02,JEPDLY02,Matched,10,11.04,12.62,32,11.46,13.98,31,,,Standard,,,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_032,J7PSM#1,JQPSM#1,Matched,10,0,0,32,0,0.02,31,,,Standard,,,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_033,J7MDY01,JQMDY01,Matched,10,9.14,9.6,32,9.4,13.4,31,,,Standard,,,,&ENV.CRD.BTHBGD.&VER.ASW.CPSWTUI(0) &ENV.CRD.BTHBGD.&VER.CSGQTOCP.L350(0) &ENV.CRD.BTHBGD.&VER.DDS.CPSITUI.DD(0) &ENV.CRD.BTHBGD.&VER.ISGQTOCP.L350(0) &ENV.CRD.BTHBGD.&VER.PPI.CPSITUI.PP(0) &ENV.CRD.BTHBGD.&VER.RCS.VCHC.QMUI(0) &ENV.CRD.BTHBGD.&VER.RCS.VCHI.QMUI(0) &ENV.CRD.BTHBGD.&VER.VCRCAQ.L350(0) &ENV.CRD.BTHBGD.&VER.VCRCAQ.RBK1.L5(0) &ENV.CRD.BTHBGD.&VER.VIRCAQ.L350(0) &ENV.CRD.BTHBGD.&VER.VIRCAQ.RBK1.L5(0) &ENV.CRD.BTHSEQ.&VER.CSGQTOCP.L350.CAF &ENV.CRD.BTHSEQ.&VER.IBGDD.ITR.CPTUI &ENV.CRD.BTHSEQ.&VER.IBGDD.QMC204.W1 &ENV.CRD.BTHSEQ.&VER.IBGDD.QMC204.W2 &ENV.CRD.BTHSEQ.&VER.IBGDD.QMC204.W3 &ENV.CRD.BTHSEQ.&VER.IBGDD.QMC204.W4 &ENV.CRD.BTHSEQ.&VER.IBGDD.QMC204.W5 &ENV.CRD.BTHSEQ.&VER.ISGQTOCP.L350.CAF &ENV.CRD.BTHSEQ.&VER.MID807.COMET.QMTUI1 &ENV.CRD.BTHSEQ.&VER.NBPS.QMETUI &ENV.CRD.BTHSEQ.&VER.PPI.QMC204 &ENV.CRD.BTHSEQ.&VER.QRISS.QMETUI &ENV.CRD.BTHSEQ.&VER.QRONUS.QMETUIA &ENV.CRD.BTHSEQ.&VER.RPS.DLY.CPTUI &ENV.CRD.BTHSEQ.&VER.RTPRTD.QMETUI &ENV.EDC.BTHBGD.&VER.AMUI(0) &ENV.EDC.BTHBGD.&VER.TOAMEDC1(0) &ENV.EPP.BTHSEQ.&VER.AMUI &ENV.IMX.BTHSEQ.&VER.BIZFUSE.BZFUI,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_034,J7PPCCT,JCPPCCT,Matched,10,0.24,0.28,32,0.24,0.25,31,,,Standard,,,,&CNTLLIB(CPU920CT),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_035,J7PUHST,JCPUHST,Matched,10,0.79,0,32,3.7,25.5,37,,,Standard,,,IDCAMS IEBDG IEFBR14,PRDCIS.BTHLOD.MY20A2 PRDCRD.BTHCTL.MY20A2(CPDFCPP) PRDCRD.BTHCTL.MY20A2(REPRO) PRDCRD.BTHSEQ.MY20A2.CPBCPP.BCKUP PRDCRD.BTHVSM.MY20A2.CPBCPP PRDCSS.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_036,J7PU909,JCPU909,Matched,10,1.62,2,32,1.66,2.43,31,,,Standard,,,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_037,J7PDY1,JCPDY1,Matched,10,0.66,0.87,32,0.65,1.38,31,01:00,01:30,Critical,JCPDY1,CIS DAY1,,&ENV.CAU.BTHSEQ.&VER.CPTUI.PE &ENV.CAU.BTHSEQ.&VER.CPTUIM.PE &ENV.CIS.BTHSEQ.&VER.CLWBKFL.CPTUI.PE &ENV.CIS.BTHSEQ.&VER.CPTUI.CRP.PE &ENV.CIS.BTHSEQ.&VER.CPTUI.GSTW.PE &ENV.CIS.BTHSEQ.&VER.CPTUI.KH.AUTO.PE &ENV.CIS.BTHSEQ.&VER.CPTUI.WELB.PE &ENV.CIS.BTHSEQ.&VER.CUS.PRGE.UI.PE &ENV.CIS.BTHSEQ.&VER.DS30.CPTUI.DSA.PE &ENV.CIS.BTHSEQ.&VER.DS40.CPTUI.DSA.PE &ENV.CIS.BTHSEQ.&VER.GST.CPTUI.PE &ENV.CIS.BTHSEQ.&VER.MAINT.CPTUI.RCYC.PE &ENV.CIS.BTHSEQ.&VER.NPD030.CPTUIM.PE &ENV.CIS.BTHSEQ.&VER.OABI.UI.PE &ENV.CIS.BTHSEQ.&VER.PLTMNUI.PE &ENV.CIS.BTHSEQ.&VER.RCSBVCUI.BULK.PE &ENV.CIS.BTHSEQ.&VER.RCSBVCUI.PE &ENV.CIS.BTHSEQ.&VER.SST.CPTUI.PE &ENV.CIS.BTHSEQ.&VER.SST.CPTUI.REV.PE &ENV.CIS.BTHSEQ.&VER.SST.MAINT.CPTUI.PE &ENV.CRD.BTHSEQ.&VER.ABC.SAS.CPTUI.PE &ENV.CRD.BTHSEQ.&VER.ADDLCR.LBUCIA.PE &ENV.CRD.BTHSEQ.&VER.ADEBIT.CPTUI.PE &ENV.CRD.BTHSEQ.&VER.ADHOC1.UI.PE &ENV.CRD.BTHSEQ.&VER.ADHOC2.UI.PE &ENV.CRD.BTHSEQ.&VER.ADHOC3.UI.PE &ENV.CRD.BTHSEQ.&VER.AKPK.CPTUI.PE &ENV.CRD.BTHSEQ.&VER.AUTO.REBATE.CPTUI.PE &ENV.CRD.BTHSEQ.&VER.AUTOBLK.EQUOUI.PE &ENV.CRD.BTHSEQ.&VER.AUTOBLK.LOWOUI.PE,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_038,J7MBMER,JQMBMER,Matched,10,5.64,6.6,32,6.76,10.67,31,,,Standard,,,,&ENV.CAQ.ONLVSM.&VER.QMMBUS &ENV.CAQ.ONLVSM.&VER.QMMCNT &ENV.CAQ.ONLVSM.&VER.QMMMER &ENV.CAQ.ONLVSM.&VER.QMMPRF &ENV.CAQ.ONLVSM.&VER.QMPORG &ENV.CAQ.ONLVSM.&VER.QMPSYS,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
